"city","population","country","cca2","lat","lng","slug"
"Salerno",423216,"Italy","IT",40.6754,14.7933,
"Magnitogorsk",420923,"Russia","RU",53.4186,59.0472,
"Belgorod",420057,"Russia","RU",50.6107,36.5802,
"Charleroi",419244,"Belgium","BE",50.4114,4.44448,
"Surgut",413754,"Russia","RU",61.25,73.4167,
"Wandsbek",411422,"Germany","DE",53.5833,10.083,
"Sevastopol",401552,"Ukraine","UA",44.5888,33.5224,
"Ivanovo",398393,"Russia","RU",56.9972,40.9714,
"Khmelnytskyi",398346,"Ukraine","UA",49.4216,26.9965,
"Middlesbrough",397527,"United Kingdom","GB",54.5762,-1.23483,
"Stoke-on-Trent",396812,"United Kingdom","GB",53.0042,-2.18538,
"Szczecin",396654,"Poland","PL",53.4289,14.553,
"Bryansk",390872,"Russia","RU",53.2521,34.3717,
"Treviso",386170,"Italy","IT",45.6667,12.2416,
"Luhansk",386097,"Ukraine","UA",48.5671,39.3171,
"Sector 3",385439,"Romania","RO",44.4234,26.1687,
"Pescara",384545,"Italy","IT",42.4584,14.2028,
"Vitebsk",384385,"Belarus","BY",55.1904,30.2049,
"Bochum",382181,"Germany","DE",51.4817,7.21648,
"Las Palmas de Gran Canaria",381847,"Spain","ES",28.0997,-15.4134,
"Saint-Etienne",381552,"France","FR",45.4339,4.39,
"Alicante",380675,"Spain","ES",38.3452,-0.48149,
"Brno",380587,"Czech Republic","CZ",49.1952,16.608,
"Bochum-Hordel",380000,"Germany","DE",51.5017,7.1756,
"Makiyivka",376610,"Ukraine","UA",48.0478,37.9258,
"Kaunas",374643,"Lithuania","LT",54.9027,23.9096,
"Eindhoven",372720,"Netherlands","NL",51.4408,5.47778,
"Rennes",371499,"France","FR",48.112,-1.67429,
"Brest",370503,"Belarus","BY",52.0975,23.6877,
"Tours",369653,"France","FR",47.3948,0.70398,
"Mahilyow",369200,"Belarus","BY",53.9168,30.3449,
"Sector 6",367760,"Romania","RO",44.4358,26.0165,
"Bethune",364898,"France","FR",50.5333,2.63333,
"Modena",364037,"Italy","IT",44.6478,10.9254,
"Chita",363732,"Russia","RU",52.0317,113.501,
"Stavropol'",363064,"Russia","RU",45.0428,41.9734,
"Vladimir",360331,"Russia","RU",56.1366,40.3966,
"Arkhangel'sk",356051,"Russia","RU",64.5401,40.5433,
"Reading",355596,"United Kingdom","GB",51.4562,-0.97113,
"Kaluga",352870,"Russia","RU",54.5293,36.2754,
"Vinnytsia",352115,"Ukraine","UA",49.2328,28.481,
"Tampere",350951,"Finland","FI",61.4991,23.7871,
"Sunderland",349162,"United Kingdom","GB",54.9047,-1.38222,
"Sarajevo",348404,"Bosnia and Herzegovina","BA",43.8486,18.3564,
"Wuppertal",348119,"Germany","DE",51.2563,7.14816,
"Mannheim",347710,"Germany","DE",49.4891,8.46694,
"Plovdiv",347170,"Bulgaria","BG",42.15,24.75,
"Bilbao",346746,"Spain","ES",43.2627,-2.92528,
"Cordoba",346280,"Spain","ES",37.8915,-4.77275,
"Sector 2",345370,"Romania","RO",44.4528,26.1332,
"Valenciennes",344351,"France","FR",50.35,3.53333,
"Nizhny Tagil",343700,"Russia","RU",57.9194,59.965,
"Podolsk",343650,"Russia","RU",55.4242,37.5547,
"Yakutsk",343581,"Russia","RU",62.0339,129.733,
"Barletta",342721,"Italy","IT",41.3143,16.2817,
"Simferopol",339529,"Ukraine","UA",44.9572,34.1108,
"Bydgoszcz",338761,"Poland","PL",53.1235,18.0076,
"Preston",338446,"United Kingdom","GB",53.7628,-2.70452,
"Krasnogvargeisky",337091,"Russia","RU",59.973,30.4761,
"Parma",336487,"Italy","IT",44.7994,10.3262,
"Birkenhead",335971,"United Kingdom","GB",53.3934,-3.01479,
"Bielefeld",334631,"Germany","DE",52.0333,8.53333,
"Varna",334289,"Bulgaria","BG",43.2167,27.9167,
"Vicenza",334102,"Italy","IT",45.5467,11.5475,
"Nola",330100,"Italy","IT",40.9261,14.5282,
"Kingston upon Hull",328518,"United Kingdom","GB",53.7446,-0.33525,
"Lublin",326875,"Poland","PL",51.25,22.5667,
"Smolensk",326841,"Russia","RU",54.7818,32.0401,
"Saransk",326515,"Russia","RU",54.1838,45.1749,
"Newport",324815,"United Kingdom","GB",52.7668,-2.37734,
"Newport",324815,"United Kingdom","GB",51.5877,-2.99835,
"Newport",324815,"United Kingdom","GB",50.7015,-1.29124,
"Karlsruhe",323804,"Germany","DE",49.0094,8.40444,
"Volzhskiy",323293,"Russia","RU",48.7858,44.7797,
"Kherson",320477,"Ukraine","UA",46.6558,32.6178,
"Bonn",320358,"Germany","DE",50.7344,7.09549,
"Swansea",320236,"United Kingdom","GB",51.6208,-3.94323,
"Cherepovets",319500,"Russia","RU",59.1333,37.9,
"Murmansk",319263,"Russia","RU",68.9792,33.0925,
"Islington",319143,"United Kingdom","GB",51.5362,-0.10304,
"Vologda",318455,"Russia","RU",59.2239,39.884,
"Poltava",317847,"Ukraine","UA",49.5937,34.5407,
"Hrodna",317365,"Belarus","BY",53.6884,23.8258,
"Katowice",317316,"Poland","PL",50.2584,19.0275,
"Iasi",316343,"Romania","RO",47.1667,27.6,
"Lecco",313867,"Italy","IT",45.8559,9.39704,
"Orel",313814,"Russia","RU",52.9651,36.0785,
"Ostrava",313088,"Czech Republic","CZ",49.8346,18.282,
"Vigo",308323,"Spain","ES",42.2328,-8.72264,
"Cluj-Napoca",308304,"Romania","RO",46.7667,23.6,
"Chernihiv",307684,"Ukraine","UA",51.5055,31.2849,
"Timisoara",306435,"Romania","RO",45.7537,21.2257,
"Kurgan",305791,"Russia","RU",55.45,65.3333,
"Craiova",304142,"Romania","RO",44.3167,23.8,
"Constanta",303399,"Romania","RO",44.1807,28.6343,
"Malmoe",301706,"Sweden","SE",55.6059,13.0007,
"Valladolid",300977,"Spain","ES",41.6552,-4.72372,
"Bradford",299310,"United Kingdom","GB",53.7939,-1.75206,
"Cherkasy",297568,"Ukraine","UA",49.4285,32.0621,
"Vladikavkaz",297145,"Russia","RU",43.0367,44.6678,
"Southend-on-Sea",295310,"United Kingdom","GB",51.5378,0.71433,
"Sumy",294456,"Ukraine","UA",50.9216,34.8003,
"Galati",294087,"Romania","RO",45.45,28.05,
"Bialystok",291855,"Poland","PL",53.1333,23.1643,
"Tambov",290933,"Russia","RU",52.7317,41.4433,
"Sector 4",287828,"Romania","RO",44.3757,26.1208,
"Marienthal",287101,"Germany","DE",53.5667,10.0833,
"Zhytomyr",282192,"Ukraine","UA",50.2649,28.6767,
"Hamburg-Nord",280000,"Germany","DE",53.5894,9.984,
"Yoshkar-Ola",279100,"Russia","RU",56.6388,47.8908,
"Taganrog",279056,"Russia","RU",47.2362,38.8969,
"Horlivka",278550,"Ukraine","UA",48.3358,38.0532,
"Kostroma",277656,"Russia","RU",57.7665,40.9269,
"Gijon",277554,"Spain","ES",43.5357,-5.66152,
"Brasov",276088,"Romania","RO",45.6486,25.6061,
"Komsomolsk-on-Amur",275908,"Russia","RU",50.5503,137.01,
"Nal'chik",272800,"Russia","RU",43.4981,43.6189,
"Wiesbaden",272432,"Germany","DE",50.0826,8.24932,
"Ljubljana",272220,"Slovenia","SI",46.0511,14.5051,
"Sector 5",271575,"Romania","RO",44.3881,26.0714,
"Derby",270468,"United Kingdom","GB",52.9228,-1.47663,
"Muenster",270184,"Germany","DE",51.9624,7.62571,
"Gelsenkirchen",270028,"Germany","DE",51.5051,7.09654,
"Sterlitamak",267231,"Russia","RU",53.6246,55.9501,
"Eixample",266477,"Spain","ES",41.389,2.16179,
"Aachen",265208,"Germany","DE",50.7766,6.08342,
"Petrozavodsk",265025,"Russia","RU",61.7849,34.3469,
"Moenchengladbach",261742,"Germany","DE",51.1854,6.44172,
"Plymouth",260203,"United Kingdom","GB",50.3715,-4.14305,
"Augsburg",259196,"Germany","DE",48.3715,10.8985,
"Luton",258018,"United Kingdom","GB",51.8797,-0.41748,
"L'Hospitalet de Llobregat",257038,"Spain","ES",41.3597,2.10028,
"Espoo",256760,"Finland","FI",60.2052,24.6522,
"Latina",256644,"Spain","ES",40.389,-3.74569,
"Bratsk",256600,"Russia","RU",56.1325,101.614,
